country_code,year,ai_papers,total_citations,avg_citations_per_paper,median_citations_per_paper,avg_authors_per_paper,avg_institutions_per_paper,international_collaboration_rate
SK,2024,1,286,286.0,286.0,7.0,5.0,1.0
SO,2023,1,354,354.0,354.0,3.0,3.0,1.0
SO,2025,1,51,51.0,51.0,4.0,3.0,1.0
SS,2018,2,5018,2509.0,2509.0,10.0,8.0,1.0
SS,2023,1,359,359.0,359.0,3.0,3.0,1.0
SS,2024,1,185,185.0,185.0,4.0,3.0,1.0
SX,2024,1,172,172.0,172.0,4.0,4.0,1.0
SY,2019,1,826,826.0,826.0,4.0,3.0,1.0
SY,2021,1,551,551.0,551.0,3.0,2.0,1.0
SY,2022,1,378,378.0,378.0,14.0,21.0,1.0
SY,2024,2,745,372.5,372.5,5.0,4.5,1.0
SY,2025,1,134,134.0,134.0,4.0,2.0,1.0
TH,2017,1,730,730.0,730.0,22.0,22.0,1.0
TH,2020,1,551,551.0,551.0,7.0,2.0,1.0
TH,2021,1,722,722.0,722.0,99.0,34.0,1.0
TH,2023,4,2375,593.75,537.0,4.5,4.0,0.5
TH,2024,1,307,307.0,307.0,2.0,2.0,0.0
TH,2025,4,243,60.75,60.0,17.75,9.75,1.0
TJ,2017,1,1213,1213.0,1213.0,100.0,59.0,1.0
TN,2018,1,813,813.0,813.0,4.0,3.0,1.0
TN,2019,1,587,587.0,587.0,5.0,6.0,1.0
TN,2020,1,603,603.0,603.0,4.0,2.0,1.0
TN,2021,2,843,421.5,421.5,4.0,2.5,0.5
TN,2022,2,737,368.5,368.5,3.5,3.0,1.0
TN,2023,2,1293,646.5,646.5,2.5,4.5,1.0
TN,2025,1,76,76.0,76.0,7.0,5.0,1.0
TR,2016,7,6447,921.0,857.0,19.0,9.2857,0.7143
TR,2017,9,25773,2863.6667,971.0,18.0,11.3333,0.7778
TR,2018,11,10776,979.6364,906.0,7.0,6.5455,0.3636
TR,2019,6,4844,807.3333,716.0,35.1667,22.8333,0.3333
TR,2020,15,13019,867.9333,629.0,5.0667,3.9333,0.5333
TR,2021,9,6067,674.1111,552.0,16.5556,16.2222,0.5556
TR,2022,18,9660,536.6667,390.5,11.8333,9.0,0.7222
TR,2023,21,9497,452.2381,354.0,10.6667,8.4762,0.6667
TR,2024,20,4931,246.55,179.5,6.6,6.45,0.8
TR,2025,26,2202,84.6923,75.5,9.1538,7.6923,0.7692
TW,2016,6,8286,1381.0,853.0,4.3333,3.6667,0.8333
TW,2017,4,3729,932.25,927.0,28.0,16.75,0.5
TW,2018,7,9692,1384.5714,1143.0,10.8571,4.4286,0.8571
TW,2019,10,13850,1385.0,978.5,14.9,8.2,0.6
TW,2020,16,21788,1361.75,1003.0,4.8125,3.875,0.8125
TW,2021,12,17861,1488.4167,699.5,16.9167,12.25,1.0
TW,2022,13,7327,563.6154,495.0,17.5385,13.0769,0.8462
TW,2023,13,18431,1417.7692,288.0,11.5385,10.1538,0.7692
TW,2024,20,8063,403.15,188.5,15.5,10.5,0.85
TW,2025,14,1121,80.0714,73.5,21.5,16.1429,0.9286
TZ,2016,1,752,752.0,752.0,4.0,5.0,1.0
TZ,2017,1,680,680.0,680.0,6.0,4.0,1.0
TZ,2019,1,1960,1960.0,1960.0,3.0,2.0,1.0
UA,2016,3,3289,1096.3333,752.0,35.3333,15.0,0.6667
UA,2017,2,2373,1186.5,1186.5,5.0,5.0,1.0
UA,2019,2,1670,835.0,835.0,2.5,2.0,1.0
UA,2020,2,2727,1363.5,1363.5,5.0,5.0,1.0
UA,2022,1,452,452.0,452.0,100.0,61.0,1.0
UA,2023,2,696,348.0,348.0,7.5,6.5,1.0
UA,2024,1,193,193.0,193.0,5.0,8.0,1.0
UA,2025,6,378,63.0,61.0,10.5,7.1667,0.8333
UG,2020,1,721,721.0,721.0,64.0,32.0,1.0
UG,2022,1,403,403.0,403.0,28.0,22.0,1.0
UG,2023,1,259,259.0,259.0,7.0,4.0,1.0
UG,2024,1,321,321.0,321.0,4.0,2.0,0.0
UG,2025,3,416,138.6667,72.0,15.6667,18.0,0.6667
US,2016,474,871717,1839.0654,952.5,6.1772,3.9008,0.4895
US,2017,474,1000829,2111.4536,1001.0,6.1076,3.8101,0.4705
US,2018,491,900484,1833.9796,1003.0,6.6884,3.6925,0.4501
US,2019,446,607326,1361.7175,946.0,7.4372,4.565,0.5269
US,2020,367,427492,1164.8283,789.0,7.654,4.8529,0.5858
US,2021,375,367893,981.048,600.0,8.2,5.3813,0.5893
US,2022,367,229209,624.5477,459.0,9.2779,5.5695,0.6267
US,2023,367,218333,594.9128,370.0,10.485,5.6839,0.5695
US,2024,304,106736,351.1053,200.0,10.5691,6.5395,0.6086
US,2025,284,55785,196.4261,74.0,11.5317,7.7465,0.662
UZ,2025,5,390,78.0,57.0,26.2,18.0,1.0
VE,2017,1,702,702.0,702.0,7.0,6.0,1.0
VN,2016,4,6019,1504.75,671.5,27.75,16.5,1.0
VN,2017,3,2617,872.3333,649.0,4.0,3.6667,1.0
VN,2018,4,4244,1061.0,932.0,3.25,2.75,1.0
VN,2019,4,3106,776.5,784.0,5.5,3.75,1.0
VN,2020,7,5806,829.4286,782.0,5.7143,4.7143,1.0
VN,2021,5,2837,567.4,514.0,6.2,4.4,1.0
VN,2022,5,2262,452.4,419.0,14.6,10.4,1.0
VN,2023,3,990,330.0,256.0,5.0,3.6667,1.0
VN,2024,7,1145,163.5714,170.0,5.0,3.7143,0.7143
VN,2025,5,652,130.4,94.0,21.2,18.4,0.8
YE,2023,2,754,377.0,377.0,4.0,4.0,1.0
YE,2024,2,386,193.0,193.0,4.5,4.0,1.0
YE,2025,3,218,72.6667,58.0,29.6667,28.6667,1.0
ZA,2016,9,7686,854.0,857.0,26.3333,21.0,1.0
ZA,2017,4,5851,1462.75,842.0,15.25,11.5,0.5
ZA,2018,6,4903,817.1667,758.5,8.3333,9.8333,0.6667
ZA,2019,6,6492,1082.0,1024.0,21.3333,14.0,0.8333
ZA,2020,8,7034,879.25,858.5,12.125,12.5,0.875
ZA,2021,12,30722,2560.1667,880.0,20.75,17.5,1.0
ZA,2022,17,10217,601.0,459.0,8.1765,8.1176,0.8235
ZA,2023,7,5495,785.0,271.0,13.4286,9.4286,0.4286
ZA,2024,14,5241,374.3571,174.5,13.0,11.6429,0.7857
ZA,2025,17,2141,125.9412,81.0,17.0,20.0588,0.8235
ZW,2020,1,721,721.0,721.0,64.0,32.0,1.0
ZW,2022,1,403,403.0,403.0,28.0,22.0,1.0
